Sr. No.,Date,Field Code,GC Code,Source,Snake Species,Local/ Common Name,Prey Order,Prey Family,Prey Genus,Prey Species,Body Form,Habitat,Habit,Specimen,Tissue,Condition,Standard Length (cm),Tail Length (cm),Maximum Body Girth (cm),Weight (g),Depth caught (wav),Depth caught (m),Photo No.,Location,Remarks
275,11-05-2019,,GCGN4035,Gill Net,,Rough Flathead,Scorpaeniformes,Platycephalidae,,Grammoplites scaber,,,,,Yes,1,13.3,2,2.4,16,5,,,Malvan,
276,11-05-2019,,AGTR4001,Trawler,,Spiny Cheeked Grouper,Perciformes,Serranidae,,Epinephelus diacanthus,,,,,Yes,3,13,3.2,3.5,20,17,,,Zua,
277,11-05-2019,,GCTR4086,Trawler,,Tardoore,Clupeiformes,Pristigasteridae,,Opisthopterus tardoore,,,,,Yes,1,13,2.4,3.8,19,18,,,Zua,
278,11-05-2019,,GCTR4087,Trawler,,Croaker,Perciformes,Sciaenidae,,,,,,,Yes,1,9.2,1.9,3,10,18,,,Zua,
279,11-05-2019,,GCTR4088,Trawler,,Squid,,,,,,,,,Yes,1,9.7,,3.8,45,18,,,Zua,
280,12-05-2019,,GCGN4036,Gill Net,,Spotted Catfish,Silluriformes,Ariidae,,Arius maculatus,,,,,Yes,1,8.2,2.7,1.5,8,5,,,Malvan,
281,12-05-2019,,GCGN4037,Gill Net,,Spotted Catfish,Silluriformes,Ariidae,,Arius maculatus,,,,,Yes,1,7.5,2.4,1.4,5,5,,,Malvan,
282,12-05-2019,HSGN4122,,,Hydrophis schistosus,Spiny Cheeked Grouper,Perciformes,Serranidae,,Epinephelus diacanthus,,,,,Yes,3,13.3,3,3.2,9,5,,,Malvan,
283,12-05-2019,,GCTR4089,Trawler,,Moustached thryssa,Clupeiformes,Engraulidae,,Thryssa mystax,,,,,Yes,1,12.7,3,3.4,16,16,,,Zua,
284,12-05-2019,,GCTR4090,Trawler,,Smallscaled terapon,Perciformes,Actinopterygii,,Terapon puta,,,,,Yes,1,8.8,2.4,3.2,14,16,,,Zua,
285,12-05-2019,,GCTR4091,Trawler,,Saddle Grunt,Perciformes,Haemulidae,,Pomadasys maculatum,,,,,Yes,1,11,2.2,4.2,25,16,,,Zua,
286,12-05-2019,,GCTR4092,Trawler,,Black pomfret,Perciformes,Carangidae,,Parastromateus niger,,,,,Yes,1,6.5,2,4.5,9,16,,,Zua,
287,12-05-2019,,GCTR4093,Trawler,,Prawns,,,,,,,,,Yes,1,8,,1,,16,,,Zua,
288,13-05-2019,,GCTR4094,Trawler,,Moustached thryssa,Clupeiformes,Engraulidae,,Thryssa mystax,,,,,Yes,1,13.2,3.1,4.2,24,19,,,Nortth of Malvan,
289,13-05-2019,,GCTR4095,Trawler,,Rough Flathead,Scorpaeniformes,Platycephalidae,,Grammoplites scaber,,,,,Yes,1,13.4,2.1,2.3,20,19,,,Nortth of Malvan,
290,13-05-2019,,GCTR4096,Trawler,,Conger Eel,Anguiliformes,Congridae,,Bathycongrus nasicus,,,,,Yes,1,32.2,,2.2,36,19,,,Nortth of Malvan,
291,14-05-2019,,GCGN4038,Gill Net,,Lunartail Pufferfish,Tetraodontiforms,Tetraodontidae,,Lagocephalus lunaris,,,,,Yes,1,10.6,2.8,3.5,45,5,,,Malvan,
292,14-05-2019,,GCGN4039,Gill Net,,Spotted Catfish,Silluriformes,Ariidae,,Arius maculatus,,,,,Yes,1,8,2.6,2,10,5,,,Malvan,
293,14-05-2019,,GCGN4040,Gill Net,,Kathala Croaker,Perciformes,Sciaenidae,,Kanthala axillaris,,,,,Yes,1,7.5,2.1,4,7,5,,,Malvan,
294,14-05-2019,,GCGN4041,Gill Net,,Bald Glassy,Perciformes,Ambassidae,,Ambassis gymnocephalus,,,,,Yes,1,6,1.5,2.5,3,5,,,Malvan,
295,14-05-2019,,GCTR4097,Trawler,,Mantis Shrimp,,,,,,,,,Yes,1,11.3,,2.5,12,10,,,Zua,
296,14-05-2019,,GCTR4098,Trawler,,Saddle Grunt,Perciformes,Haemulidae,,Pomadasys maculatum,,,,,Yes,1,11.8,2.4,4.5,36,10,,,Zua,
297,14-05-2019,,GCTR4099,Trawler,,Yellowtail Scad,Perciformes,Carangidae,,Atule mate,,,,,Yes,1,9,2.6,3.4,10,10,,,Zua,
298,14-05-2019,,GCTR4100,Trawler,,Scaly hairfin Anchovy,Clupeiformes,Engraulidae,,Setipinna taty,,,,,Yes,1,8.7,2.2,2.7,6,10,,,Zua,
299,14-05-2019,,GCTR4101,Trawler,,Black pomfret,Perciformes,Carangidae,,Parastromateus niger,,,,,Yes,1,5,1.5,4.7,3,10,,,Zua,
300,15-05-2019,,GCTR4102,Trawler,,Smooth blassop pufferfish,Tetraodontiforms,Tetraodontidae,,Lagocephalus inermis,,,,,Yes,1,7.4,1.3,2.4,5,16,,,Zua,
301,15-05-2019,,GCTR4103,Trawler,,Smallscaled terapon,Perciformes,Actinopterygii,,Terapon puta,,,,,Yes,1,11.1,2.1,4.5,28,16,,,Zua,
302,15-05-2019,,GCTR4104,Trawler,,Yellowtail Scad,Perciformes,Carangidae,,Atule mate,,,,,Yes,1,11.3,2.9,4.4,23,16,,,Zua,
303,15-05-2019,,GCTR4105,Trawler,,Longjaw thryssa,Clupeiformes,Engraulidae,,Thryssa setiostris,,,,,Yes,1,13.7,3.3,3.3,21,16,,,Zua,
304,15-05-2019,,GCTR4106,Trawler,,Conger Eel,Anguiliformes,Congridae,,Bathycongrus nasicus,,,,,Yes,1,40,,2.7,48,16,,,Zua,
305,16-05-2019,,GCTR4107,Trawler,,Moustached thryssa,Clupeiformes,Engraulidae,,Thryssa mystax,,,,,Yes,1,12.2,2.7,4.1,16,16,,,Zua,
306,16-05-2019,,GCTR4108,Trawler,,Rough Flathead,Scorpaeniformes,Platycephalidae,,Grammoplites scaber,,,,,Yes,1,14,1.7,4,18,16,,,Zua,
307,16-05-2019,,GCTR4109,Trawler,,Saddle Grunt,Perciformes,Haemulidae,,Pomadasys maculatum,,,,,Yes,1,8.1,1.9,3.7,14,16,,,Zua,
308,16-05-2019,,GCTR4110,Trawler,,Conger Eel,Anguiliformes,Congridae,,Bathycongrus nasicus,,,,,Yes,1,26.8,,2.7,31,16,,,Zua,
309,16-05-2019,,GCTR4111,Trawler,,Chinese Silver Pomfret,Perciformes,Stromateidae,,Pampus chinensis,,,,,Yes,1,9.8,1.7,7.9,27,16,,,Zua,
