Sr. No.,Date,Field Code,GC Code,Source,Snake Species,Local/ Common Name,Prey Family,Prey Species,Abundance,Specimen,Tissue,Condition,Standard Length (cm),Tail Length (cm),Maximum Body Girth (cm),Weight (g),Depth caught (wav),Depth caught (m),Photo No.,Location,Remarks
33,17-03-2016,CESS 2021,,Gut content,Hydrophis curtus,Ribbonfish,Trichiuridae,Trichiuridae,1,Yes,,1,,,,,,,,Dandi beach,Only head visible
34,16-02-2017,,,Gut content,Hydrophis curtus,,Carangidae,Unidentified,1,Yes,,2,11,,2.5,,,,,Dandi beach,Decapterus/Atule sp.
35,12-03-2017,,,Gut content,Hydrophis schistosus,,Clupeidae,Unidentified,1,Yes,,2,12.2,,2.4,,,,,Dandi beach,
36,12-03-2017,,,Gut content,Hydrophis schistosus,,Clupeidae,Unidentified,1,Yes,,1,13,,2.5,,,,,Dandi beach,
37,12-03-2017,,,Gut content,Hydrophis schistosus,,Clupeidae,Unidentified,1,Yes,,1,15,,3.8,,,,,Dandi beach,
38,20-03-2017,,,Gut content,Hydrophis schistosus,Silver Croaker,Sciaenidae,Sciaenidae,3,Yes,,3,,,,,,,,Dandi beach,
39,29-12-2017,HCDB01,HCDB01,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,,,4,,,,,,,SD DSC9298,Malvan,
40,29-12-2017,HSDB02,HSDB02.1,Gut content,Hydrophis schistosus,Pufferfish,Tetrodontidae,Chelonodon laticeps,,Yes,,1,5.607,1.325,1.056,7,,,SD DSC9291,Malvan,To be weighed
41,29-12-2017,HSDB02,HSDB02.2,Gut content,Hydrophis schistosus,Pufferfish,Tetrodontidae,Chelonodon laticeps,,Yes,,2,6.25,1.437,1.82,7,,,SD DSC9289,Malvan,To be weighed
42,29-12-2017,HSDB02,HSDB02.3,Gut content,Hydrophis schistosus,Pufferfish,Tetrodontidae,Chelonodon laticeps,,,,4,,,,,,,,Malvan,
43,29-12-2017,HSDB02,HSDB02.4,Gut content,Hydrophis schistosus,Pufferfish,Tetrodontidae,Chelonodon laticeps,,,,4,,,,,,,,Malvan,
44,31-12-2017,HCDB03,HCDB03,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,,,4,,,,,,,SD IMG192025,Malvan,
45,31-12-2017,HCMT05,HCMT05,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,,,4,,,,,,,SD IMG192054,Malvan,
46,01-01-2018,HCDB05,HCDB05.1,Gut content,Hydrophis curtus,Indian oil sardine,Clupeidae,Sardinella sp.,,,Yes,1,14.9,1.7,3.013,55,,,TG IMG11721850,Malvan,
