"","Date","Boat.name","Gear.Type","Fishing.Location","Depth.m","effort","lat","lon"
"115","15-12-2018","fc77093b","GillNet","Devbag",23.375,3,16.029932,73.3895833333333
"116","17-12-2018","3a493285","GillNet","Wayari",14.96,2,16.0465772,73.4354166666667
"117","17-12-2018","ba6de2fd","GillNet","Devbag",5.61,2,16.029932,73.4354166666667
"118","20-12-2018","15a0b187","GillNet","Devbag",9.35,1,16.029932,73.4604166666667
"119","24-12-2018","c75c7e31","GillNet","Juva Pankhol",29.92,1,16.1120596,73.29375
"120","24-12-2018","a08a9a75","GillNet","Wayari",31.79,1,16.0465772,73.30625
"121","24-12-2018","e693dc6f","GillNet","Wayari",26.18,2.5,16.0465772,73.3729166666667
"122","24-12-2018","c37f1837","GillNet","Wayari",33.66,1,16.0465772,73.3020833333333
"123","24-12-2018","d193a291","GillNet","Wayari",29.92,3,16.0465772,73.3479166666667
"124","24-12-2018","ba6de2fd","GillNet","Aachara",31.79,1,16.190837,73.24375
"125","24-12-2018","6d2d1679","GillNet","Talashil",28.05,1,16.100039,73.3479166666667
"126","25-12-2018","fc6ac6c6","GillNet","Wayari",9.35,3,16.0465772,73.4520833333333
"127","25-12-2018","20f36a64","GillNet","Aachara",29.92,1,16.190837,73.33125
"128","25-12-2018","77dae807","GillNet","Wayari",28.05,1,16.0465772,73.35625
"129","25-12-2018","6d2d1679","GillNet","Wayari",26.18,1,16.0465772,73.3729166666667
"130","25-12-2018","ba6de2fd","GillNet","Wayari",28.05,1,16.0465772,73.35625
"131","25-12-2018","d193a291","GillNet","Wayari",29.92,1,16.0465772,73.3479166666667
"132","30-12-2018","e4c47cae","GillNet","Wayari",31.79,1,16.0465772,73.30625
"133","31-12-2018","8c205b36","GillNet","Wayari",18.7,1,16.0465772,73.41875
"134","01-01-2019","1900c151","GillNet","Wayari",24.31,0.5,16.0465772,73.3854166666667
"135","01-01-2019","c75c7e31","GillNet","Wayari",28.05,3,16.0465772,73.35625
"136","02-01-2019","fc6ac6c6","GillNet","Wayari",8.415,2,16.0465772,73.45625
"137","02-01-2019","c5fb3ce4","GillNet","Wayari",28.985,2,16.0465772,73.3520833333333
"138","04-01-2019","1900c151","GillNet","Wayari",20.57,1,16.0465772,73.4020833333333
