"Sr..No.","Date","Field.Code","Species","Location encountered","Depth.Caught..Fathoms.","Gear.Type","Fishing.Location","Boat.Name.Owner","No..of.Hauls","Average.Haul.Duration..Hours.","Condition.at.encounter..D.A.","Gut.Content","Blood","Plasma.Volume","Plasma.Color","Scale","Dissected","Snout.to.Vent..cm.","Body.Length..cm.","Tail.Length..cm.","Head.Length..cm.","Head.Width..cm.","Snout.to.Nose..cm.","Nose.to.Eye..cm.","Gape..cm.","Neck.Circumference..cm.","Body.Circumference..cm.","Weight..g.","Sex","Photo.No.","Remarks","Month","Year","Depth.Caught..m.","Class"
102,"21/01/18","-","Hydrophis curtus","Evening Auction","NA",,,"NA","NA","NA","Dead",,,"NA",,,,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,"Decaying","January","2018","NA","NA"
103,"22/01/18","HSDB57","Hydrophis schistosus","Dandi",4.5,"GillNet",,"9c03b302",1,"NA","Alive","Yes",,"NA",,,,62.3,69.7,7.4,"NA","NA","NA","NA","NA","NA","NA",225,"Female",,"Caught in net at 5:30","January","2018",8.415,"Adult"
104,"22/01/18","HSDB58","Hydrophis schistosus","Dandi",7,"GillNet",,"0ae7679a",1,"NA","Alive",,,"NA",,,,59.3,70.3,11,"NA","NA","NA","NA","NA","NA","NA",315,"Male",,"Caught in net at 4:30","January","2018",13.09,"Juvenile"
105,"22/01/18","HSDB59","Hydrophis schistosus","Dandi",4.5,"GillNet",,"eca33227",1,"NA","Alive",,"Yes","NA",,,,63,74,11,"NA","NA","NA","NA","NA","NA","NA",280,"Male",,,"January","2018",8.415,"Adult"
106,"22/01/18","HSDB60","Hydrophis schistosus","Dandi",4,"GillNet",,"631ac303",1,"NA","Alive",,,"NA",,,,56.5,65,8.5,"NA","NA","NA","NA","NA","NA","NA",235,"Female",,,"January","2018",7.48,"Juvenile"
107,"22/01/18","HSDB61","Hydrophis schistosus","Dandi",6,"GillNet",,"53dc7269",1,"NA","Alive",,,"NA",,,,95,106.5,11.5,"NA","NA","NA","NA","NA","NA","NA",470,"Male",,,"January","2018",11.22,"Adult"
108,"22/01/18","-","Hydrophis schistosus","Dandi","NA",,,"NA","NA","NA","Dead",,,"NA",,,,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,"From previous night","January","2018","NA","NA"
109,"23/01/18","HSDB62","Hydrophis schistosus","Dandi",8,"GillNet",,"83bf3ccd",1,"NA","Alive","Yes","Yes","NA",,"Yes","Yes",65.5,77.5,12,"NA","NA","NA","NA","NA","NA","NA",350,"Male",,,"January","2018",14.96,"Adult"
110,"23/01/18","HSDB63","Hydrophis schistosus","Dandi",7,"GillNet",,"878f9bfd",1,"NA","Alive",,"Yes","NA",,"Yes","Yes",68,80,12,1.835,0.852,0.348,0.15,1.89,0.381,1.055,450,"Male",,"Injured mouth, Mouth and nose bleeding profusely after death","January","2018",13.09,"Adult"
111,"23/01/18","HSDB64","Hydrophis schistosus","Dandi",2,"GillNet",,"bbd9d55f",1,"NA","Alive",,,"NA",,,,83.8,97.1,13.3,"NA","NA","NA","NA","NA","NA","NA",405,"Male",,"Injured mouth","January","2018",3.74,"Adult"
112,"23/01/18","HSDB65","Hydrophis schistosus","Dandi",8,"GillNet",,"c77c7d14",1,"NA","Alive",,,"NA",,,,74.5,86.5,12,"NA","NA","NA","NA","NA","NA","NA",405,"Male",,,"January","2018",14.96,"Adult"
113,"23/01/18","HSDB66","Hydrophis schistosus","Dandi",8,"GillNet",,"c77c7d14",1,"NA","Alive","Yes",,"NA",,,,75.5,87,11.5,"NA","NA","NA","NA","NA","NA","NA",330,"Male",,,"January","2018",14.96,"Adult"
114,"23/01/18","HSDB67","Hydrophis schistosus","Dandi",4,"GillNet",,"0ec19791",1,"NA","Alive",,,"NA",,,,67.5,79,11.5,"NA","NA","NA","NA","NA","NA","NA",260,"Male",,"Notch on bottom of tail","January","2018",7.48,"Adult"
115,"24/01/18","HSDB68","Hydrophis schistosus","Dandi",7,"GillNet",,"d6152245",1,"NA","Alive",,,"NA",,,,71,82,11,"NA","NA","NA","NA","NA","NA","NA",380,"Male",,"Tail injury, healed","January","2018",13.09,"Adult"
116,"24/01/18","HSDB69","Hydrophis schistosus","Dandi",5,"GillNet",,"8c205b36",1,"NA","Alive","Yes",,"NA",,,,72,82.2,10.2,"NA","NA","NA","NA","NA","NA","NA",235,"Male",,,"January","2018",9.35,"Adult"
117,"24/01/18","HSDB70","Hydrophis schistosus","Dandi",2,"GillNet",,"e1f93503",1,"NA","Alive",,,"NA",,,,83.5,99,15.5,"NA","NA","NA","NA","NA","NA","NA",555,"Male",,,"January","2018",3.74,"Adult"
118,"25/01/18","HSDB71","Hydrophis schistosus","Dandi",2.5,"GillNet",,"40cbfc16",1,"NA","Alive",,,"NA",,,,74,84.5,10.5,"NA","NA","NA","NA","NA","NA","NA",405,"Male",,,"January","2018",4.675,"Adult"
119,"26/01/18","HSDB72","Hydrophis schistosus","Dandi",2,"GillNet",,"fa4a81bd",1,"NA","Alive",,"Yes","NA",,,,61,69.9,8.9,"NA","NA","NA","NA","NA","NA","NA",275,"Female",,"Head injury","January","2018",3.74,"Adult"
120,"26/01/18","-","Hydrophis schistosus","Dandi","NA",,,"NA","NA","NA","Dead",,,"NA",,,,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,"January","2018","NA","NA"
121,"26/01/18","HSDB73","Hydrophis schistosus","Dandi",5,"GillNet",,"b6d19876",1,"NA","Alive",,"Yes","NA",,,,54,62.5,8.5,"NA","NA","NA","NA","NA","NA","NA",180,"Male",,"Almost completed molting","January","2018",9.35,"Juvenile"
122,"26/01/18","HCMT21","Hydrophis curtus","Malvan","NA",,,"NA","NA","NA","Dead",,"Yes","NA",,"Yes","Yes",58.5,64.5,6,2.601,1.755,0.864,1.044,2.449,1.223,1.425,200,"Female",,"2 large notches on tail, found near evening auction, possibly discarded from trawler","January","2018","NA","Juvenile"
123,"27/01/18","HSDB74","Hydrophis schistosus","Dandi",3,"GillNet",,"ea364a9e",1,0.5,"Alive",,,"NA",,"Yes","Yes",67.5,76.9,9.4,"NA","NA","NA","NA","NA",0.506,0.814,140,"Male","TG IMG 163740783","Bad head injury. Skull/jaw dislocated","January","2018",5.61,"Adult"
124,"27/01/18","HSDB75","Hydrophis schistosus","Dandi",10,"GillNet",,"51b70650",1,0.33,"Alive",,,"NA",,,,93.5,105.1,11.6,"NA","NA","NA","NA","NA","NA","NA",840,"Female",,"Gravid, slight bleeding from mouth","January","2018",18.7,"Adult"
125,"27/01/18","HSDB76","Hydrophis schistosus","Dandi",4,"GillNet",,"434e782e",1,1,"Alive","Yes",,"NA",,,,89,101.6,12.6,"NA","NA","NA","NA","NA","NA","NA",440,"Male",,"Boat length 18 feet, bleeding from mouth, healed wounds on mid body","January","2018",7.48,"Adult"
126,"27/01/18","HSDB77","Hydrophis schistosus","Dandi",5,"GillNet",,"efeaa2fa",1,1,"Alive","Yes",,"NA",,,,62.7,73.2,10.5,"NA","NA","NA","NA","NA","NA","NA",245,"Male",,,"January","2018",9.35,"Adult"
127,"27/01/18","HSDB78","Hydrophis schistosus","Dandi",7.5,"GillNet",,"5cbe54c0",1,0.5,"Alive",,,"NA",,,,60,69.5,9.5,"NA","NA","NA","NA","NA","NA","NA",345,"Female",,"Moutling","January","2018",14.025,"Juvenile"
128,"27/01/18","HSDB79","Hydrophis schistosus","Dandi","NA",,,"NA","NA","NA","Alive","Yes",,"NA",,,,68.9,78.5,10.4,"NA","NA","NA","NA","NA","NA","NA",265,"Male",,"Found on beach","January","2018","NA","Adult"
129,"27/01/18","HSDB80","Hydrophis schistosus","Dandi",4.5,"GillNet",,"ba6de2fd",1,0.25,"Alive",,"Yes","NA",,,,55.6,63.2,7.6,"NA","NA","NA","NA","NA","NA","NA",220,"Female",,,"January","2018",8.415,"Juvenile"
130,"27/01/18","-","Hydrophis schistosus","Dandi",4,"GillNet",,"434e782e",1,1,"Alive",,,"NA",,,,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,"Released by tourist before measurement","January","2018",7.48,"NA"
131,"28/01/18","HSMT04","Hydrophis schistosus","Malvan",16,"Trawler",,"a04d4d47",2,2.75,"Alive",,,"NA",,,,96,108.1,12.1,"NA","NA","NA","NA","NA","NA","NA",650,"Female",,"Gravid?","January","2018",29.92,"Adult"
132,"28/01/18","HSMT05","Hydrophis schistosus","Malvan",16,"Trawler",,"a04d4d47",2,2.75,"Alive",,,"NA",,,,76.5,86,9.5,"NA","NA","NA","NA","NA","NA","NA",280,"Male",,,"January","2018",29.92,"Adult"
133,"28/01/18","HCMT22","Hydrophis curtus","Malvan",16,"Trawler",,"a04d4d47",2,2.75,"Dead",,"Yes","NA",,"Yes","Yes",58.5,67.5,9,2.295,1.194,0.309,0.491,1.963,0.862,1.024,250,"Male",,"Stomach Empty","January","2018",29.92,"Adult"
134,"28/01/18","HSDB81","Hydrophis schistosus","Dandi","NA","GillNet",,"NA",1,"NA","Alive",,,"NA",,,,79.7,92.2,12.5,"NA","NA","NA","NA","NA","NA","NA",535,"Male",,"Bought by Asif","January","2018","NA","Adult"
135,"28/01/18","HSDB82","Hydrophis schistosus","Dandi","NA","GillNet",,"NA",1,"NA","Alive",,,"NA",,,,64.5,72.5,8,"NA","NA","NA","NA","NA","NA","NA",270,"Female",,"Bought by Asif","January","2018","NA","Adult"
136,"28/01/18","HSDB83","Hydrophis schistosus","Dandi","NA","GillNet",,"NA",1,"NA","Alive",,,"NA",,,,67.5,76.7,9.2,"NA","NA","NA","NA","NA","NA","NA",280,"Male",,"Bought by Asif","January","2018","NA","Adult"
137,"31/01/18","HSDB84","Hydrophis schistosus","Dandi",2.5,"Rampan",,"fc6ac6c6",1,8,"Alive",,"Yes","NA",,,,60.9,70,9.9,"NA","NA","NA","NA","NA","NA","NA",180,"Male",,,"January","2018",4.675,"Adult"
138,"02/02/18","HSDB85","Hydrophis schistosus","Dandi",6,"GillNet",,"21e4068b",1,0.333333333,"Alive","Yes",,"NA",,,,78.3,91.4,13.1,"NA","NA","NA","NA","NA","NA","NA",455,"Male",,,"February","2018",11.22,"Adult"
139,"02/02/18","HSDB86","Hydrophis schistosus","Dandi",6,"GillNet",,"21e4068b",1,0.333333333,"Alive",,,"NA",,,,57.2,67.5,10.3,"NA","NA","NA","NA","NA","NA","NA",215,"Male",,"Notch on tail","February","2018",11.22,"Juvenile"
140,"02/02/18","HSDB87","Hydrophis schistosus","Dandi",7,"Rampan",,"c638ad34",1,"NA","Alive","Yes",,"NA",,"Yes",,55.7,64.1,8.4,1.516,0.862,0.283,0.22,1.332,0.727,1.232,150,"Male",,"Sluggish. Gut content was stuck inside him for a while","February","2018",13.09,"Juvenile"
141,"02/02/18","HSDB88","Hydrophis schistosus","Dandi",6,"GillNet",,"21e4068b",1,0.333333333,"Alive",,,"NA",,,,64,74.6,10.6,"NA","NA","NA","NA","NA","NA","NA",245,"Male",,,"February","2018",11.22,"Adult"
142,"02/02/18","HSDB89","Hydrophis schistosus","Dandi",6.5,"GillNet",,"93a19c89",1,2,"Alive",,,"NA",,,,62,71.4,9.4,"NA","NA","NA","NA","NA","NA","NA",395,"Male",,"Injured mouth. Tip of tail bleeding during measurement","February","2018",12.155,"Adult"
143,"02/02/18","HSDB90","Hydrophis schistosus","Dandi",6.5,"GillNet",,"93a19c89",1,2,"Dead","Yes","Yes","NA","Cloudy","Yes","Yes",77.4,89.9,12.5,1.641,0.869,0.321,0.145,1.646,0.988,2.187,250,"Male",,"No sign of injury. Blood plasme cloudy","February","2018",12.155,"Adult"
144,"03/02/18","HSDB91","Hydrophis schistosus","Dandi",4,"GillNet",,"cf971186",1,1,"Alive",,,"NA",,,,63.5,72.6,9.1,"NA","NA","NA","NA","NA","NA","NA",310,"Female",,"Injured neck. Released early
","February","2018",7.48,"Adult"
145,"03/02/18","HSDB92","Hydrophis schistosus","Dandi",5,"GillNet",,"21e4068b",1,0.166666667,"Alive",,,"NA",,,,68.2,78.8,10.6,"NA","NA","NA","NA","NA","NA","NA",265,"Male",,"Released early","February","2018",9.35,"Adult"
146,"03/02/18","HSDB93","Hydrophis schistosus","Dandi",7,"GillNet",,"35e689d4",1,0.5,"Alive",,,"NA",,,,90.5,104.1,13.6,"NA","NA","NA","NA","NA","NA","NA",415,"Male",,"Went to Aachra to fish. Sluggish, injured mouth and head. Released early","February","2018",13.09,"Adult"
147,"03/02/18","HSMT06","Hydrophis schistosus","Malvan",24,"Trawler",,"eb657d2f",4,3,"Alive",,,"NA",,,,63.4,72.7,9.3,"NA","NA","NA","NA","NA","NA","NA",260,"Female",,,"February","2018",44.88,"Adult"
148,"03/02/18","HSMT07","Hydrophis schistosus","Malvan",24,"Trawler",,"eb657d2f",4,3,"Alive",,,"NA",,,,57.2,67.8,10.6,"NA","NA","NA","NA","NA","NA","NA",220,"Male",,,"February","2018",44.88,"Juvenile"
149,"03/02/18","HSMT08","Hydrophis schistosus","Malvan",24,"Trawler",,"eb657d2f",4,3,"Alive",,,"NA",,,,54.9,64.5,9.6,"NA","NA","NA","NA","NA","NA","NA",235,"Male",,,"February","2018",44.88,"Juvenile"
150,"03/02/18","HSMT09","Hydrophis schistosus","Malvan",24,"Trawler",,"eb657d2f",4,3,"Alive",,,"NA",,,,64,73.5,9.5,"NA","NA","NA","NA","NA","NA","NA",275,"Male",,,"February","2018",44.88,"Adult"
151,"03/02/18","HSMT10","Hydrophis schistosus","Malvan",24,"Trawler",,"eb657d2f",4,3,"Dead",,,"NA",,,,87,99.5,12.5,1.943,0.974,0.294,0.25,1.779,0.822,2.295,275,"Male",,"Mouth bleeding, skull felt broken/fractured","February","2018",44.88,"Adult"
152,"03/02/18","HSMT11","Hydrophis schistosus","Malvan",24,"Trawler",,"eb657d2f",4,3,"Dead",,,"NA",,,,77.5,87.7,10.2,1.689,0.927,0.305,0.247,1.718,0.719,1.548,215,"Female",,,"February","2018",44.88,"Adult"
153,"03/02/18","HSMT12","Hydrophis schistosus","Malvan",24,"Trawler",,"eb657d2f",4,3,"Alive",,"Yes","NA",,"Yes",,70.5,80.9,10.4,1.661,0.903,0.365,0.256,1.529,0.853,1.531,180,"Male","TG IMG 110929482","Sluggish and weak before death. Wounds/lacerations along the body. Neck swollen","February","2018",44.88,"Adult"
154,"03/02/18","HSMT13","Hydrophis schistosus","Malvan",24,"Trawler",,"eb657d2f",4,3,"Alive",,,"NA",,"Yes","Yes",79,88.5,9.5,1.802,0.855,0.301,0.206,1.632,0.634,1.934,240,"Female","TG IMG 113925981","Internal bleeding. Lung was bloated with air","February","2018",44.88,"Adult"
155,"03/02/18","HSMT14","Hydrophis schistosus","Malvan",24,"Trawler",,"eb657d2f",4,3,"Alive",,,"NA",,,,68.4,79.3,10.9,"NA","NA","NA","NA","NA","NA","NA",515,"Female",,"Gravid","February","2018",44.88,"Adult"
156,"03/02/18","HSMT15","Hydrophis schistosus","Malvan",24,"Trawler",,"eb657d2f",4,3,"Alive",,,"NA",,,,83.3,93,9.7,"NA","NA","NA","NA","NA","NA","NA",520,"Female",,"Gravid","February","2018",44.88,"Adult"
157,"03/02/18","HSMT16","Hydrophis schistosus","Malvan",24,"Trawler",,"eb657d2f",4,3,"Alive",,,"NA",,,,88.8,101.2,12.4,"NA","NA","NA","NA","NA","NA","NA",390,"Male",,"Very sluggish. With gut content but no regurgitation. Released after 36 hours. Still very sluggish, weak","February","2018",44.88,"Adult"
158,"03/02/18","HSMT17","Hydrophis schistosus","Malvan",24,"Trawler",,"eb657d2f",4,3,"Alive",,,"NA",,,,83.7,96.7,13,"NA","NA","NA","NA","NA","NA","NA",480,"Male",,,"February","2018",44.88,"Adult"
159,"03/02/18","-","Hydrophis schistosus","Dandi","NA",,,"NA","NA","NA","Dead",,,"NA",,,,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,"Large bloated specimen","February","2018","NA","NA"
160,"03/02/18","-","Hydrophis curtus","Dandi","NA",,,"NA","NA","NA","Dead",,,"NA",,,,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,"February","2018","NA","NA"
161,"04/02/18","HSDB94","Hydrophis schistosus","Dandi",8,"GillNet",,"aea15348",1,1.75,"Alive",,,"NA",,,,60.5,70.2,9.7,"NA","NA","NA","NA","NA","NA","NA",380,"Male",,,"February","2018",14.96,"Adult"
162,"04/02/18","HSDB95","Hydrophis schistosus","Dandi",5,"GillNet",,"cf971186",1,0.5,"Alive","Yes",,"NA",,,,66.7,76.5,9.8,"NA","NA","NA","NA","NA","NA","NA",340,"Male",,,"February","2018",9.35,"Adult"
163,"04/02/18","HSDB96","Hydrophis schistosus","Dandi",5,"GillNet",,"cf971186",1,0.5,"Alive","Yes",,"NA",,,,65.7,75.7,10,"NA","NA","NA","NA","NA","NA","NA",360,"Male",,,"February","2018",9.35,"Adult"
164,"04/02/18","HSDB97","Hydrophis schistosus","Dandi",5,"GillNet",,"cf971186",1,0.5,"Alive",,,"NA",,,,66.5,76.5,10,"NA","NA","NA","NA","NA","NA","NA",285,"Female",,,"February","2018",9.35,"Adult"
165,"04/02/18","HSDB98","Hydrophis schistosus","Dandi",7,"GillNet",,"818a0b48",1,0.5,"Alive",,,"NA",,,,96,109.6,13.6,"NA","NA","NA","NA","NA","NA","NA",505,"Male",,,"February","2018",13.09,"Adult"
166,"04/02/18","-","Hydrophis schistosus","Dandi","NA",,,"NA","NA","NA","Dead",,,"NA",,,,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,"Large","February","2018","NA","NA"
167,"06/02/18","HSDB99","Hydrophis schistosus","Dandi",4,"GillNet",,"edc7c573",1,0.25,"Alive",,,"NA",,,,61.5,70,8.5,"NA","NA","NA","NA","NA","NA","NA",260,"Male",,"injury behind neck","February","2018",7.48,"Adult"
168,"06/02/18","HSDB100","Hydrophis schistosus","Dandi","NA",,,"NA","NA","NA","Dead",,,"NA",,,"Yes",86.5,97.6,11.1,22.4,9.27,3.54,2.15,17.85,4.71,15.77,355,"Female",,,"February","2018","NA","Adult"
169,"06/02/18","HSMT18","Hydrophis schistosus","Malvan",25,"Trawler",,"eb657d2f",3,3,"Alive",,"Yes","NA",,"Yes","Yes",92.5,106,13.5,22.5,9.86,4.8,3.9,19.57,9.59,35.42,505,"Female",,"Gravid - 10 embryos","February","2018",46.75,"Adult"
170,"06/02/18","HSMT19","Hydrophis schistosus","Malvan",25,"Trawler",,"eb657d2f",3,3,"Alive",,"Yes","NA",,"Yes","Yes",86.5,97,10.5,"NA","NA","NA","NA","NA","NA","NA",660,"Female",,"gravid, moulting,lower jaw injured","February","2018",46.75,"Adult"
171,"06/02/18","HSMT20","Hydrophis schistosus","Malvan",25,"Trawler",,"eb657d2f",3,3,"Alive",,"Yes","NA",,"Yes","Yes",79.5,90,10.5,"NA","NA","NA","NA","NA","NA","NA","NA","Female",,,"February","2018",46.75,"Adult"
172,"06/02/18","HSDB101","Hydrophis schistosus","Dandi",2,"GillNet",,"2f44f60e",1,"NA","Alive","Yes",,"NA",,,,55.5,64.4,8.9,"NA","NA","NA","NA","NA","NA","NA",215,"Male",,"Benthic net","February","2018",3.74,"Juvenile"
173,"06/02/18","HSDB102","Hydrophis schistosus","Dandi",2,"GillNet",,"2f44f60e",1,"NA","Alive","Yes",,"NA",,,,55.5,66.5,11,"NA","NA","NA","NA","NA","NA","NA",320,"Male",,,"February","2018",3.74,"Juvenile"
174,"07/02/18","HSDB103","Hydrophis schistosus","Dandi",3.5,"Rampan",,"fc6ac6c6",1,14,"Alive",,,"NA",,,,74.5,84.5,10,"NA","NA","NA","NA","NA","NA","NA",485,"Female",,,"February","2018",6.545,"Adult"
175,"07/02/18","HCDB08","Hydrophis curtus","Dandi",14,"GillNet",,"7e585a4b",1,1,"Alive",,"Yes","NA",,,,54.5,59.5,5,"NA","NA","NA","NA","NA","NA","NA",230,"Female",,"Blood marked as HCDB07","February","2018",26.18,"Juvenile"
176,"07/02/18","HSDB104","Hydrophis schistosus","Dandi",7,"GillNet",,"cf971186",1,1,"Alive",,,"NA",,,,83.5,96.3,12.8,"NA","NA","NA","NA","NA","NA","NA",500,"Male",,,"February","2018",13.09,"Adult"
177,"07/02/18","-","Hydrophis schistosus","Dandi","NA",,,"NA","NA","NA","Dead",,,"NA",,,,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,"Evicerated, stiff (2 - 3 days dead)","February","2018","NA","NA"
178,"07/02/18","HCDB09","Hydrophis curtus","Dandi","NA",,,"NA","NA","NA","Dead",,,"NA",,"Yes","Yes",49,56,7,2.004,1.215,0.463,0.365,1.649,1.069,1.41,215,"Male",,"Scales marked as HCDB08","February","2018","NA","Juvenile"
179,"07/02/18","HSMT21","Hydrophis schistosus","Malvan",9,"Trawler",,"a04d4d47",3,2.75,"Alive",,"Yes","NA",,,,65.5,72.5,7,"NA","NA","NA","NA","NA","NA","NA",260,"Male",,,"February","2018",16.83,"Adult"
180,"07/02/18","HSMT22","Hydrophis schistosus","Malvan",9,"Trawler",,"a04d4d47",3,2.75,"Alive",,,"NA",,,,74.5,80.5,6,"NA","NA","NA","NA","NA","NA","NA",460,"Female",,,"February","2018",16.83,"Adult"
181,"07/02/18","-","Hydrophis schistosus","Dandi","NA",,,"NA","NA","NA","Dead",,,"NA",,,,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,"February","2018","NA","NA"
182,"07/02/18","HSDB105","Hydrophis schistosus","Dandi","NA",,,"NA","NA","NA","Dead","Yes",,"NA",,,,70.5,80.5,10,"NA","NA","NA","NA","NA","NA","NA","NA","Male",,,"February","2018","NA","Adult"
183,"07/02/18","HCDB10","Hydrophis curtus","Dandi","NA",,,"NA","NA","NA","Dead","Yes",,"NA",,"Yes","Yes",63.5,70.3,6.8,2.194,1.592,0.439,0.317,2.098,1.311,1.327,185,"Female",,"Wairy Ubhatwadi Beach end, scales marked as HCDB09","February","2018","NA","Juvenile"
184,"07/02/18","HSMT23","Hydrophis schistosus","Malvan",20,"Trawler",,"eb657d2f",4,2.5,"Alive",,,"NA",,,,91.4,105.4,14,"NA","NA","NA","NA","NA","NA","NA",475,"Male",,,"February","2018",37.4,"Adult"
185,"07/02/18","HSMT24","Hydrophis schistosus","Malvan",20,"Trawler",,"eb657d2f",4,2.5,"Alive",,,"NA",,,,67.5,78,10.5,"NA","NA","NA","NA","NA","NA","NA",340,"Male",,,"February","2018",37.4,"Adult"
186,"08/02/18","HCDB11","Hydrophis curtus","Dandi",13,"GillNet",,"f044fcbd",1,2,"Alive","Yes","Yes","NA",,,,57.5,63.5,6.5,"NA","NA","NA","NA","NA","NA","NA",360,"Female",,"Benthic net","February","2018",24.31,"Juvenile"
187,"08/02/18","HCDB12","Hydrophis curtus","Dandi",14,"GillNet",,"0215f05a",1,0.33,"Alive","Yes","Yes","NA",,,,55,60.5,5.5,"NA","NA","NA","NA","NA","NA","NA",375,"Female",,"Benthic net","February","2018",26.18,"Juvenile"
188,"08/02/18","HSDB106","Hydrophis schistosus","Dandi",11.5,"GillNet",,"448fd852",1,"NA","Alive",,,"NA",,,,80.5,88.5,8,"NA","NA","NA","NA","NA","NA","NA",650,"Female",,,"February","2018",21.505,"Adult"
189,"08/02/18","HSDB107","Hydrophis schistosus","Dandi",11.5,"GillNet",,"448fd852",1,"NA","Alive",,,"NA",,,,84.5,94.5,10,"NA","NA","NA","NA","NA","NA","NA",630,"Female",,"Injury near neck, left side","February","2018",21.505,"Adult"
190,"09/02/18","HSDB108","Hydrophis schistosus","Dandi",2,"GillNet",,"cf971186",1,0.33,"Alive",,,"NA",,,,77.5,87.5,10,"NA","NA","NA","NA","NA","NA","NA",570,"Female",,,"February","2018",3.74,"Adult"
191,"09/02/18","HCDB13","Hydrophis curtus","Dandi",16,"GillNet",,"933b26e2",1,2.25,"Alive",,,"NA",,,,54.5,60,5.5,"NA","NA","NA","NA","NA","NA","NA",370,"Female",,,"February","2018",29.92,"Juvenile"
192,"09/02/18","HSMT25","Hydrophis schistosus","Malvan",6,"Trawler",,"eb657d2f",2,3.5,"Dead",,,"NA",,,,99,109.8,10.8,"NA","NA","NA","NA","NA","NA","NA",495,"Female",,"Decomposing, bloody clotted, head damaged, moulting","February","2018",11.22,"Adult"
193,"09/02/18","HSMT26","Hydrophis schistosus","Malvan",6,"Trawler",,"eb657d2f",2,3.5,"Dead",,,"NA",,,,100.5,112.5,12,"NA","NA","NA","NA","NA","NA","NA","NA","Male",,"Head damaged, bleeding from mouth","February","2018",11.22,"Adult"
194,"09/02/18","HSMT27","Hydrophis schistosus","Malvan",6,"Trawler",,"eb657d2f",2,3.5,"Alive",,,"NA",,,,70.3,80.4,10.1,"NA","NA","NA","NA","NA","NA","NA",335,"Male",,"Moulting","February","2018",11.22,"Adult"
195,"09/02/18","HSMT28","Hydrophis schistosus","Malvan",6,"Trawler",,"eb657d2f",2,3.5,"Alive",,,"NA",,,,75,83,8,"NA","NA","NA","NA","NA","NA","NA",420,"Female",,"Gravid?","February","2018",11.22,"Adult"
196,"09/02/18","HSMT29","Hydrophis schistosus","Malvan",6,"Trawler",,"eb657d2f",2,3.5,"Alive",,,"NA",,,,90,105.5,15.5,"NA","NA","NA","NA","NA","NA","NA",510,"Male",,,"February","2018",11.22,"Adult"
197,"09/02/18","HSMT30","Hydrophis schistosus","Malvan",6,"Trawler",,"eb657d2f",2,3.5,"Alive",,,"NA",,,,83.5,93.5,10,"NA","NA","NA","NA","NA","NA","NA",510,"Male",,,"February","2018",11.22,"Adult"
198,"09/02/18","HSMT31","Hydrophis schistosus","Malvan",6,"Trawler",,"eb657d2f",2,3.5,"Alive",,,"NA",,,,95.8,107.4,11.6,"NA","NA","NA","NA","NA","NA","NA",850,"Female",,"Inhury on ventral side of body","February","2018",11.22,"Adult"
199,"09/02/18","HSMT32","Hydrophis schistosus","Malvan",6,"Trawler",,"eb657d2f",2,3.5,"Alive",,,"NA",,,,100.2,113.6,13.4,"NA","NA","NA","NA","NA","NA","NA",900,"Female",,"Injury behind neck","February","2018",11.22,"Adult"
200,"09/02/18","HSMT33","Hydrophis schistosus","Malvan",6,"Trawler",,"eb657d2f",2,3.5,"Alive",,,"NA",,,,84.5,94.3,9.8,"NA","NA","NA","NA","NA","NA","NA",585,"Female",,"Small wounds on body","February","2018",11.22,"Adult"
201,"09/02/18","HSMT34","Hydrophis schistosus","Malvan",6,"Trawler",,"eb657d2f",2,3.5,"Alive",,,"NA",,,,85.5,98,12.5,"NA","NA","NA","NA","NA","NA","NA",350,"Male",,,"February","2018",11.22,"Adult"
202,"09/02/18","HSMT35","Hydrophis schistosus","Malvan",6,"Trawler",,"eb657d2f",2,3.5,"Alive",,,"NA",,,,105.2,118.3,13.1,"NA","NA","NA","NA","NA","NA","NA",1135,"Female",,,"February","2018",11.22,"Adult"
203,"09/02/18","HSMT36","Hydrophis schistosus","Malvan",6,"Trawler",,"eb657d2f",2,3.5,"Alive",,,"NA",,"Yes","Yes",67,76.5,9.5,1.911,0.883,0.407,0.225,1.558,0.44,0.992,170,"Male",,,"February","2018",11.22,"Adult"
204,"09/02/18","HSMT37","Hydrophis schistosus","Malvan",6,"Trawler",,"eb657d2f",2,3.5,"Dead",,,"NA",,"Yes","Yes",66,75.5,9.5,1.742,0.775,0.416,0.168,1.315,0.481,0.756,120,"Male","Yes","Growth near belly embedded in a hole","February","2018",11.22,"Adult"
205,"09/02/18","HSMT38","Hydrophis schistosus","Malvan",6,"Trawler",,"eb657d2f",2,3.5,"Dead",,,"NA",,,"Yes",81,92.6,11.6,1.937,0.797,0.483,0.127,1.621,0.473,0.885,215,"Male",,,"February","2018",11.22,"Adult"
